Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Mexico/CDMX/InDRE_01/2020,EPI_ISL_412972,GISAID,,Complete,29865,High,"0/0/11/2/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-02-27,Mexico / Mexico City,Instituto Nacional de Enfermedades Respiratorias,2020-03-01,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)
BetaCoV/Italy/SPL1/2020,EPI_ISL_412974,GISAID,,Complete,29903,High,0/0/2/0/NO,Homo sapiens,2020-01-29,Italy / Rome,"Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy",2020-03-01,"Virology Laboratory, Scientific Department, Army Medical Center"
BetaCoV/Australia/NSW05/2020,EPI_ISL_412975,GISAID,,Complete,29782,High,0/0/6/0/NO,Homo sapiens,2020-02-28,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-03-02,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Wuhan/HBCDC-HB-02/2020,EPI_ISL_412978,GISAID,,Complete,29846,High,0/0/4/0/NO,Homo sapiens,2020-01-17,China / Hubei / Wuhan,The Central Hospital Of Wuhan,2020-03-02,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Wuhan/HBCDC-HB-03/2020,EPI_ISL_412979,GISAID,,Complete,29848,High,0/0/2/0/NO,Homo sapiens,2020-01-18,China / Hubei / Wuhan,"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology",2020-03-02,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Wuhan/HBCDC-HB-04/2020,EPI_ISL_412980,GISAID,,Complete,29845,High,0/0/5/0/NO,Homo sapiens,2020-01-18,China / Hubei / Wuhan,"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology",2020-03-02,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Wuhan/HBCDC-HB-05/2020,EPI_ISL_412981,GISAID,,Complete,29843,High,0/1/6/0/NO,Homo sapiens,2020-01-18,China / Hubei / Wuhan,CR&WISCO GENERAL HOSPITAL,2020-03-02,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Wuhan/HBCDC-HB-06/2020,EPI_ISL_412982,GISAID,,Complete,29838,High,0/0/5/0/NO,Homo sapiens,2020-02-07,China / Hubei / Wuhan,Wuhan Lung Hospital,2020-03-02,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Tianmen/HBCDC-HB-07/2020,EPI_ISL_412983,GISAID,,Complete,29697,High,"0/0/9/0/3175~3179(5-2-0.40,SNP:3175; SNP:3179)",Homo sapiens,2020-02-08,China / Hubei / Tianmen,Tianmen Center for Disease Control and Prevention,2020-03-02,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Canada/ON/VIDO-01/2020,EPI_ISL_413015,GISAID,,Complete,29879,High,0/0/5/2/NO,Homo sapiens,2020-01-23,Canada / Ontario,Public Health Ontario Laboratory,2020-03-02,National Microbiology Laboratory
BetaCoV/Canada/ON-PHL2445/2020,EPI_ISL_413014,GISAID,,Complete,29851,High,0/0/2/0/NO,Homo sapiens,2020-01-25,Canada / Ontario,Public Health Ontario Laboratory ,2020-03-02,Ontario Agency for Health Protection and Promotion (OAHPP)
BetaCov/Brazil/SPBR-02/2020,EPI_ISL_413016,GISAID,,Complete,29903,High,0/0/5/0/NO,Homo sapiens,2020-02-28,Brazil / Sao Paulo/ Sao Paulo,Hospital Israelita Albert Einstein,2020-03-02,"Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory"
SARS-CoV-2/SP02/human/2020/BRA,MT126808,Genbank,,Complete,29876,High,0/0/4/0/NO,Homo sapiens,2020-02-28,Brazil,,2020-03-01,Hospital Israelita Albert Einstein
BetaCoV/South Korea/KUMC01/2020,EPI_ISL_413017,GISAID,,Complete,29903,High,0/0/6/0/NO,Homo sapiens,2020-02-06,South Korea,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University",2020-03-03,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"
BetaCoV/South Korea/KUMC02/2020,EPI_ISL_413018,GISAID,,Complete,29858,High,0/0/4/0/NO,Homo sapiens,2020-02-06,South Korea,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University",2020-03-03,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"
BetaCoV/Switzerland/1000477102/2020,EPI_ISL_413019,GISAID,,Complete,29879,High,0/0/7/1/NO,Homo sapiens,2020-02-26,Switzerland / Zurich,"Department of Internal Medicine, Triemli Hospital",2020-03-03,"Institute of Medical Virology, University of Zurich"
BetaCoV/Switzerland/1000477377/2020,EPI_ISL_413020,GISAID,,Complete,29864,High,"8/0/9/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-02-27,Switzerland / Zurich,"Department of Internal Medicine, Triemli Hospital",2020-03-03,"Institute of Medical Virology, University of Zurich"
BetaCoV/Switzerland/1000477757/2020,EPI_ISL_413021,GISAID,,Complete,29875,High,"0/1/11/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-02-29,Switzerland / Zurich,Klinik Hirslanden Zurich,2020-03-03,"Institute of Medical Virology, University of Zurich"
BetaCoV/Switzerland/1000477796/2020,EPI_ISL_413022,GISAID,,Complete,29845,High,"0/0/7/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-02-29,Switzerland / Zurich,"Division of Infectious Diseases, University Hospital Zurich",2020-03-03,"Institute of Medical Virology, University of Zurich"
BetaCoV/Switzerland/1000477797/2020,EPI_ISL_413023,GISAID,,Complete,29788,High,"0/0/9/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-02-29,Switzerland / Zurich,"Division of Infectious Diseases, University Hospital Zurich",2020-03-03,"Institute of Medical Virology, University of Zurich"
BetaCoV/Switzerland/1000477806/2020,EPI_ISL_413024,GISAID,,Complete,29871,High,"0/2/10/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-02-29,Switzerland / Zurich,"Division of Infectious Diseases, University Hospital Zurich",2020-03-03,"Institute of Medical Virology, University of Zurich"
SARS-CoV-2/WA3-UW1/human/2020/USA,MT163716,GenBank,EPI_ISL_413025,Complete,29903,High,"0/0/13/0/29864~29870(7-4-0.57,SNP:29864; SNP:29867; SNP:29868; SNP:29870)",Homo sapiens,2020-02-27,United States / Washington,Harborview Medical Center,2020-03-03,UW Virology Lab
SARS-CoV-2/105/human/2020/CHN,MT135041,GenBank,EPI_ISL_413518,Complete,29903,High,0/0/4/0/NO,Homo sapiens,2020-01-26,China / Beijing,,2020-03-02,"Infectious Disease Control Center, Center for Disease Control and Prevention of PLA"
SARS-CoV-2/231/human/2020/CHN,MT135042,GenBank,EPI_ISL_413519,Complete,29903,High,0/0/4/0/NO,Homo sapiens,2020-01-28,China / Beijing,,2020-03-02,"Infectious Disease Control Center, Center for Disease Control and Prevention of PLA"
SARS-CoV-2/233/human/2020/CHN,MT135043,GenBank,EPI_ISL_413520,Complete,29903,High,0/0/5/0/NO,Homo sapiens,2020-01-28,China / Beijing,,2020-03-02,"Infectious Disease Control Center, Center for Disease Control and Prevention of PLA"
SARS-CoV-2/235/human/2020/CHN,MT135044,GenBank,EPI_ISL_413521,Complete,29903,High,0/0/4/0/NO,Homo sapiens,2020-01-28,China / Beijing,,2020-03-02,"Infectious Disease Control Center, Center for Disease Control and Prevention of PLA"
BetaCoV/Australia/NSW06/2020,EPI_ISL_413213,GISAID,,Complete,29782,High,0/0/7/0/NO,Homo sapiens,2020-02-29,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-03-04,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Australia/NSW07/2020,EPI_ISL_413214,GISAID,,Complete,29782,High,0/0/5/0/NO,Homo sapiens,2020-02-29,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-03-04,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
SARS-CoV-2/WA4-UW2/human/2020/USA,MT163717,GenBank,EPI_ISL_413455,Complete,29897,High,"0/0/8/0/29867~29870(4-3-0.75,SNP:29867; SNP:29868; SNP:29870)",Homo sapiens,2020-02-28,United States / Washington,Washington State Public Health Lab,2020-03-04,University of Washington Virology Lab
BetaCoV/USA/WA-S2/2020,EPI_ISL_413456,GISAID,,Complete,29903,High,0/0/5/0/NO,Homo sapiens,2020-02-20,United States / Washington / King County,Seattle Flu Study,2020-03-05,Seattle Flu Study
SARS-CoV-2/WA6-UW3/human/2020/USA,MT163718,GenBank,EPI_ISL_413457,Complete,29903,High,"0/0/11/0/1~20(20-6-0.30,SNP:1; SNP:3; SNP:4; SNP:5; SNP:6; SNP:20)",Homo sapiens,2020-02-29,United States / Washington,Washington State Public Health Lab,2020-03-05,UW Virology Lab
SARS-CoV-2/WA7-UW4/human/2020/USA,MT163719,GenBank,EPI_ISL_413458,Complete,29903,High,0/0/6/0/NO,Homo sapiens,2020-03-01,United States  / Washington,Washington State Public Health Lab,2020-03-05,UW Virology Lab
BetaCoV/Japan/TK/20-31-3/2020,EPI_ISL_413459,GISAID,,Complete,29635,High,0/0/2/0/NO,Homo sapiens,2020-02-20,Japan / Tokyo,"Department of Pathology, Toshima Hospital",2020-03-05,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Anhui/SZ005/2020,EPI_ISL_413485,GISAID,,Complete,29860,High,0/0/9/1/NO,Homo sapiens,2020-01-24,China / Anhui / Suzhou,"Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention",2020-03-05,"Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention"
SARS-CoV-2/WA8-UW5/human/2020/USA,MT163720,GenBank,EPI_ISL_413486,Complete,29732,High,0/0/8/0/NO,Homo sapiens,2020-03-01,United States / Washington,Valley Medical Center,2020-03-05,University of Washington Virology Lab
BetaCoV/Germany/NRW-01/2020,EPI_ISL_413488,GISAID,,Complete,29903,High,4/0/6/0/NO,Homo sapiens,2020-02-28,Germany / North Rhine Westphalia / Heinsberg District,"Center of Medical Microbiology, Virology, and Hospital Hygiene",2020-03-05,"Center of Medical Microbiology, Virology, and Hospital Hygiene"
BetaCoV/New Zealand/01/2020,EPI_ISL_413490,GISAID,,Complete,29903,High,5/0/5/0/NO,Homo sapiens,2020-02-27,New Zealand / Auckland,Auckland Hospital,2020-03-05,Institute of Environmental Science and Research (ESR)
BetaCoV/Italy/UniSR1/2020,EPI_ISL_413489,GISAID,,Complete,29887,High,0/0/6/0/NO,Homo sapiens,2020-03-03,Italy / Lombardy / Milan,"Laboratorio di Microbiologia e Virologia, Università Vita-Salute San Raffaele, Milano",2020-03-05,"Laboratorio di Microbiologia e Virologia, Università Vita-Salute San Raffaele, Milano"
SARS-CoV-2/166/human/2020/IND,MT050493,GenBank,EPI_ISL_413523,Complete,29851,High,0/0/6/0/NO,Homo sapiens,2020-01-31, India / Kerala State,,2020-02-11,"Maximum Containment Laboratory, National Institute of Virology"
SARS-CoV-2/29/human/2020/IND,MT012098,GenBank,EPI_ISL_413522,Complete,29854,High,0/0/6/1/NO,Homo sapiens,2020-01-27, India / Kerala State,,2020-02-01,"Maximum Containment Laboratory, National Institute of Virology"
hCoV-19/Wales/PHW1/2020,EPI_ISL_413555,GISAID,,Complete,29782,High,0/0/4/0/NO,Homo sapiens,2020-02-27, United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-07,Public Health Wales Microbiology Cardiff
hCoV-19/USA/CA-CDPH-UC2/2020,EPI_ISL_413558,GISAID,,Complete,29903,High,0/0/2/0/NO,Homo sapiens,2020-02-27, United States / California / Solano County,California Department of Public Health,2020-03-07,"Chiu Laboratory, UCSF-Abbott Viral Diagnostics and Discovery Center, University of California, San Francisco"
hCoV-19/USA/CA-CDPH-UC3/2020,EPI_ISL_413559,GISAID,,Complete,29903,High,0/0/3/0/NO,Homo sapiens,2020-02-27, United States / California / Solano County,California Department of Public Health,2020-03-07,"Chiu Laboratory, UCSF-Abbott Viral Diagnostics and Discovery Center, University of California, San Francisco"
hCoV-19/USA/WA-S3/2020,EPI_ISL_413560,GISAID,,Complete,29903,High,0/0/5/0/NO,Homo sapiens,2020-02-28, United States / Washington,Seattle Flu Study,2020-03-07,Seattle Flu Study
hCoV-19/South Korea/KUMC03/2020,EPI_ISL_413513,GISAID,,Complete,29858,High,0/0/4/0/NO,Homo sapiens,2020-02-27, South Korea,"Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine",2020-03-06,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"
hCoV-19/South Korea/KUMC04/2020,EPI_ISL_413514,GISAID,,Complete,29858,High,0/0/4/0/NO,Homo sapiens,2020-02-27, South Korea,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University",2020-03-06,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"
hCoV-19/South Korea/KUMC05/2020,EPI_ISL_413515,GISAID,,Complete,29858,High,0/0/4/0/NO,Homo sapiens,2020-02-27, South Korea,"Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine",2020-03-06,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"
hCoV-19/South Korea/KUMC06/2020,EPI_ISL_413516,GISAID,,Complete,29858,High,0/0/4/0/NO,Homo sapiens,2020-02-27, South Korea,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University",2020-03-06,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"
hCoV-19/Netherlands/Haarlem_1363688/2020,EPI_ISL_413572,GISAID,,Complete,29786,High,0/0/7/0/NO,Homo sapiens,2020-03-01, Netherlands / Haarlem,MHC Kennemerland,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Blaricum_1364780/2020,EPI_ISL_413566,GISAID,,Complete,29786,High,0/0/4/0/NO,Homo sapiens,2020-03-02, Netherlands / Blaricum,MHC Gooi & Vechtstreek,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Hardinxveld_Giessendam_1364806/2020,EPI_ISL_413573,GISAID,,Complete,29783,High,0/0/3/1/NO,Homo sapiens,2020-03-02, Netherlands / Hardinxveld Giessendam,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Naarden_1364774/2020,EPI_ISL_413577,GISAID,,Complete,29783,High,0/0/2/1/NO,Homo sapiens,2020-03-02, Netherlands / Naarden,MHC Gooi & Vechtstreek,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_1364066/2020,EPI_ISL_413590,GISAID,,Complete,29783,High,0/0/1/1/NO,Homo sapiens,2020-03-02, Netherlands / Utrecht,MHC Utrecht,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Zeewolde_1365080/2020,EPI_ISL_413591,GISAID,,Complete,29786,High,0/0/4/0/NO,Homo sapiens,2020-03-02, Netherlands / Zeewolde,MHC Flevoland,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht_1363628/2020,EPI_ISL_413589,GISAID,,Complete,29786,High,0/0/8/0/NO,Homo sapiens,2020-03-01, Netherlands / Utrecht,MHC Utrecht,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Nootdorp_1364222/2020,EPI_ISL_413579,GISAID,,Complete,29786,High,"0/0/7/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-03-03, Netherlands / Nootdorp,MHC Haaglanden,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Oisterwijk_1364072/2020,EPI_ISL_413580,GISAID,,Complete,29783,High,0/0/1/1/NO,Homo sapiens,2020-03-02, Netherlands / Oisterwijk,MHC Hart voor Brabant,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Tilburg_1364286/2020,EPI_ISL_413587,GISAID,,Complete,29786,High,"0/0/7/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-03-03, Netherlands / Tilburg,Foundation Elisabeth-Tweesteden Ziekenhuis,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Rotterdam_1363790/2020,EPI_ISL_413582,GISAID,,Complete,29783,High,0/0/2/1/NO,Homo sapiens,2020-03-01, Netherlands / Rotterdam,ErasmusMC,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Rotterdam_1364040/2020,EPI_ISL_413583,GISAID,,Complete,29783,High,0/0/2/1/NO,Homo sapiens,2020-03-02, Netherlands / Rotterdam,MHC Rotterdam-Rijnmond,2020-03-07,Erasmus Medical Center
hCoV-19/Netherlands/Rotterdam_1364740/2020,EPI_ISL_413584,GISAID,,Complete,29786,High,"0/0/8/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-03-03, Netherlands / Rotterdam,unknown,2020-03-07,Erasmus Medical Center
hCoV-19/USA/WA12-UW8/2020,EPI_ISL_413563,GISAID,,Complete,29897,High,0/0/6/0/NO,Homo sapiens,2020-03-03, United States / Washington,UW Virology Lab,2020-03-07,UW Virology Lab
hCoV-19/USA/CA-CDPH-UC1/2020,EPI_ISL_413557,GISAID,,Complete,29903,High,4/0/7/0/NO,Homo sapiens,2020, United States / California / Sonoma County,California Department of Public Health ,2020-03-07,"Chiu Laboratory, UCSF-Abbott Viral Diagnostics and Discovery Center, University of California, San Francisco "
hCoV-19/Taiwan/NTU03/2020,EPI_ISL_413592,GISAID,,Complete,29870,High,0/2/8/0/NO,Homo sapiens,2020-02-29, China / Taiwan / Taipei,"Department of Laboratory Medicine, National Taiwan University Hospital",2020-03-07,"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"
hCoV-19/Luxemburg/Lux1/2020,EPI_ISL_413593,GISAID,,Complete,29786,High,0/0/5/0/NO,Homo sapiens,2020-02-29, Luxemburg,Laboratoire National de Santé,2020-03-07,Erasmus Medical Center
hCoV-19/Australia/NSW08/2020,EPI_ISL_413594,GISAID,,Complete,29409,High,0/0/1/0/NO,Homo sapiens,2020-02-28, Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-03-08,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Australia/NSW10/2020,EPI_ISL_413596,GISAID,,Complete,29409,High,0/1/2/0/NO,Homo sapiens,2020-02-28, Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology - Public Health,2020-03-08,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Australia/NSW11/2020,EPI_ISL_413597,GISAID,,Complete,29409,High,0/0/5/0/NO,Homo sapiens,2020-03-02, Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology- Public Health,2020-03-08,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Australia/NSW12/2020,EPI_ISL_413598,GISAID,,Complete,29409,High,0/0/8/0/NO,Homo sapiens,2020-03-04, Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology - Public Health,2020-03-08,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Australia/NSW13/2020,EPI_ISL_413599,GISAID,,Complete,29409,High,0/1/7/0/NO,Homo sapiens,2020-03-04, Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology - Public Health,2020-03-08,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Australia/NSW09/2020,EPI_ISL_413595,GISAID,,Complete,29409,High,0/0/8/0/NO,Homo sapiens,2020-02-28,Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-03-09,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Australia/NSW14/2020,EPI_ISL_413600,GISAID,,Complete,29409,High,0/0/5/0/NO,Homo sapiens,2020-03-03,Australia / NSW / Sydney,Centre for Infectious Diseases and Microbiology - Public Health,2020-03-09,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
hCoV-19/Finland/FIN03032020C/2020,EPI_ISL_413604,GISAID,,Complete,29807,High,"0/0/8/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-03-03,Finland / Helsinki,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland ",2020-03-09,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN03032020B/2020,EPI_ISL_413603,GISAID,,Complete,29835,High,0/0/4/0/NO,Homo sapiens,2020-03-03,Finland / Helsinki,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-09,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN03032020A/2020,EPI_ISL_413602,GISAID,,Complete,29808,High,0/0/6/0/NO,Homo sapiens,2020-03-03,Finland / Helsinki,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-09,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
2019-nCoV/USA-CruiseA-1/2020,MT159717,GenBank,EPI_ISL_413606,Complete,29882,High,0/0/2/0/NO,Homo sapiens,2020-02-17,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-2/2020,MT159718,GenBank,EPI_ISL_413607,Complete,29882,High,0/0/2/0/NO,Homo sapiens,2020-02-18,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-3/2020,MT159719,GenBank,EPI_ISL_413608,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-18,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-4/2020,MT159720,GenBank,EPI_ISL_413609,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-02-21,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-5/2020,MT159721,GenBank,EPI_ISL_413610,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-21,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-6/2020,MT159722,GenBank,EPI_ISL_413611,Complete,29882,High,0/0/2/0/NO,Homo sapiens,2020-02-21,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-7/2020,MT159705,GenBank,EPI_ISL_413612,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-02-17,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-8/2020,MT159706,GenBank,EPI_ISL_413613,Complete,29882,High,0/0/1/0/NO,Homo sapiens,2020-02-17,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-9/2020,MT159710,GenBank,EPI_ISL_413614,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-17,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-10/2020,MT159707,GenBank,EPI_ISL_413615,Complete,29882,High,0/0/1/0/NO,Homo sapiens,2020-02-17,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-11/2020,MT159708,GenBank,EPI_ISL_413616,Complete,29882,High,0/0/1/0/NO,Homo sapiens,2020-02-17,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-12/2020,MT159709,GenBank,EPI_ISL_413617,Complete,29882,High,0/0/1/0/NO,Homo sapiens,2020-02-20,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-13/2020,MT159711,GenBank,EPI_ISL_413618,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-20,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-14/2020,MT159712,GenBank,EPI_ISL_413619,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-02-25,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-15/2020,MT159713,GenBank,EPI_ISL_413620,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-18,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-16/2020,MT159714,GenBank,EPI_ISL_413621,Complete,29882,High,0/0/0/0/NO,Homo sapiens,2020-02-18,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-17/2020,MT159715,GenBank,EPI_ISL_413622,Complete,29882,High,0/0/1/0/NO,Homo sapiens,2020-02-24,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CruiseA-18/2020,MT159716,GenBank,EPI_ISL_413623,Complete,29867,High,0/0/2/1/NO,Homo sapiens,2020-02-24,United States,,2020-03-09,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
hCoV-19/Portugal/CV63/2020,EPI_ISL_413648,GISAID,,Complete,29903,High,0/0/5/0/NO,Homo sapiens,2020-03-01,Portugal,"Centro Hospitalar e Universitário de Sao Joao, Porto",2020-03-09,Instituto Nacional de Saude (INSA)
hCoV-19/Portugal/CV62/2020,EPI_ISL_413647,GISAID,,Complete,29903,High,"0/0/8/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo sapiens,2020-03-01,Portugal,"Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio",2020-03-09,Instituto Nacional de Saude (INSA)
hCoV-19/China/WF0002/2020,EPI_ISL_413692,GISAID,,Complete,29860,High,0/0/2/0/NO,Homo sapiens,2020-01,China / Shandong / Weifang,Weifang Center for Disease Control and Prevention,2020-03-09,Weifang Center for Disease Control and Prevention
hCoV-19/China/WF0001/2020,EPI_ISL_413691,GISAID,,Complete,29856,High,0/0/2/0/NO,Homo sapiens,2020-01,China / Shandong / Weifang,Weifang Center for Disease Control and Prevention,2020-03-09,Weifang Center for Disease Control and Prevention
